ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-01-07,163891.847781,67713.5539428051,204740.12338545683,163891.847781,163891.847781,-28929.7509062048,-28929.7509062048,-28929.7509062048,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-27604.255462715286,-27604.255462715286,-27604.255462715286,0.0,0.0,0.0,134962.09687479518
2019-01-14,163822.6827355794,86027.18051320782,214328.68423028928,163822.6827355794,163822.6827355794,-10408.437858678748,-10408.437858678748,-10408.437858678748,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-9082.94241518923,-9082.94241518923,-9082.94241518923,0.0,0.0,0.0,153414.24487690066
2019-01-21,163753.51769015883,127674.92179250237,255501.9662153463,163753.51769015883,163753.51769015883,29315.49804519456,29315.49804519456,29315.49804519456,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,30640.993488684075,30640.993488684075,30640.993488684075,0.0,0.0,0.0,193069.0157353534
2019-01-28,163684.35264473825,167217.99794815233,302101.05031695176,163684.35264473825,163684.35264473825,70440.76621233407,70440.76621233407,70440.76621233407,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,71766.26165582359,71766.26165582359,71766.26165582359,0.0,0.0,0.0,234125.11885707232
2019-02-04,163615.1875993177,185311.475842651,319690.39468249097,163615.1875993177,163615.1875993177,89603.97123725885,89603.97123725885,89603.97123725885,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,90929.46668074837,90929.46668074837,90929.46668074837,0.0,0.0,0.0,253219.15883657656
2019-02-11,163546.02255389708,169391.843492825,307357.6603461924,163546.02255389708,163546.02255389708,77729.63715997653,77729.63715997653,77729.63715997653,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,79055.13260346605,79055.13260346605,79055.13260346605,0.0,0.0,0.0,241275.6597138736
2019-02-18,163476.8575084765,145306.4280898569,274647.5734417272,163476.8575084765,163476.8575084765,46614.087621536324,46614.087621536324,46614.087621536324,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,47939.583065025836,47939.583065025836,47939.583065025836,0.0,0.0,0.0,210090.9451300128
2019-02-25,163407.69247554976,112159.73764897569,248745.68131093206,163407.69247554976,163407.69247554976,18022.070672894555,18022.070672894555,18022.070672894555,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,19347.56611638407,19347.56611638407,19347.56611638407,0.0,0.0,0.0,181429.76314844433
2019-03-04,163338.527442623,100037.44259401417,236964.77869968544,163338.527442623,163338.527442623,5620.995854722264,5620.995854722264,5620.995854722264,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,6946.491298211779,6946.491298211779,6946.491298211779,0.0,0.0,0.0,168959.52329734527
2019-03-11,163269.36240969622,101772.63837423778,236048.02657654276,163269.36240969622,163269.36240969622,6375.235620238585,6375.235620238585,6375.235620238585,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,7700.731063728102,7700.731063728102,7700.731063728102,0.0,0.0,0.0,169644.5980299348
2019-03-18,163200.19737676944,101869.6359627461,244497.95556727334,163200.19737676944,163200.19737676944,7740.20484400049,7740.20484400049,7740.20484400049,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,9065.700287490006,9065.700287490006,9065.700287490006,0.0,0.0,0.0,170940.40222076993
2019-03-25,163131.03234384267,96701.16731808393,233488.85828696308,163131.03234384267,163131.03234384267,1342.7735368846702,1342.7735368846702,1342.7735368846702,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,2668.268980374187,2668.268980374187,2668.268980374187,0.0,0.0,0.0,164473.80588072733
2019-04-01,163061.86731091593,80518.45990285731,226346.7371844146,163061.86731091593,163061.86731091593,-10901.667230229348,-10901.667230229348,-10901.667230229348,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-9576.171786739833,-9576.171786739833,-9576.171786739833,0.0,0.0,0.0,152160.20008068657
2019-04-08,162992.70227798916,74019.83105663798,210117.0752270765,162992.70227798916,162992.70227798916,-22391.65579968172,-22391.65579968172,-22391.65579968172,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-21066.160356192206,-21066.160356192206,-21066.160356192206,0.0,0.0,0.0,140601.04647830743
2019-04-15,162923.53724379922,61230.300108867625,201638.04956831926,162923.53724379922,162923.53724379922,-30723.55786265181,-30723.55786265181,-30723.55786265181,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-29398.06241916229,-29398.06241916229,-29398.06241916229,0.0,0.0,0.0,132199.97938114742
2019-04-22,162854.37220960925,51652.74805117368,184630.55047485046,162854.37220960925,162854.37220960925,-39564.86307865289,-39564.86307865289,-39564.86307865289,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-38239.36763516337,-38239.36763516337,-38239.36763516337,0.0,0.0,0.0,123289.50913095637
2019-04-29,162785.20717541932,42497.34152257,175334.8206153533,162785.20717541932,162785.20717541932,-52527.72079965959,-52527.72079965959,-52527.72079965959,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-51202.22535617007,-51202.22535617007,-51202.22535617007,0.0,0.0,0.0,110257.48637575973
2019-05-06,162716.04214122935,26594.368359660555,162966.09904592758,162716.04214122935,162716.04214122935,-67005.74713615724,-67005.74713615724,-67005.74713615724,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,-65680.25169266772,-65680.25169266772,-65680.25169266772,0.0,0.0,0.0,95710.29500507211
2019-05-13,162646.8771070394,17251.1171080641,156174.63477976798,162646.8771070394,162646.8771070394,-75047.29617146846,-75047.29617146846,-75047.29617146846,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-73721.80072797895,-73721.80072797895,-73721.80072797895,0.0,0.0,0.0,87599.58093557095
2019-05-20,162577.71207284945,25878.14083977,158436.44621716952,162577.71207284945,162577.71207284945,-70064.51298792787,-70064.51298792787,-70064.51298792787,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-68739.01754443835,-68739.01754443835,-68739.01754443835,0.0,0.0,0.0,92513.19908492158
2019-10-07,161194.41112048086,94426.21848357246,227938.25889372604,161194.41112048086,161194.41112048086,-672.8215960388483,-672.8215960388483,-672.8215960388483,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,652.6738474506682,652.6738474506682,652.6738474506682,0.0,0.0,0.0,160521.589524442
2019-10-14,161125.2460728624,99913.53183823515,237455.40826982516,161125.2460728624,161125.2460728624,7521.848017764579,7521.848017764579,7521.848017764579,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,8847.343461254095,8847.343461254095,8847.343461254095,0.0,0.0,0.0,168647.09409062698
